Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2022,7,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,4,     0.4,     0.2,     0.4,     0.4,-,-,-,-,-
Mandai,2022,7,5,     2.6,     2.0,     2.0,     2.0,-,-,-,-,-
Mandai,2022,7,6,     1.2,     0.6,     1.2,     1.2,-,-,-,-,-
Mandai,2022,7,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,8,     8.0,     7.0,     7.4,     7.8,-,-,-,-,-
Mandai,2022,7,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,10,    12.2,    10.8,    12.0,    12.2,-,-,-,-,-
Mandai,2022,7,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,15,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2022,7,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,20,    11.6,     7.2,     7.4,     7.6,-,-,-,-,-
Mandai,2022,7,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,22,     8.4,     8.2,     8.4,     8.4,-,-,-,-,-
Mandai,2022,7,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,24,     8.8,     6.8,     8.4,     8.4,-,-,-,-,-
Mandai,2022,7,25,     8.4,     8.2,     8.2,     8.2,-,-,-,-,-
Mandai,2022,7,26,    33.0,    26.8,    31.6,    31.8,-,-,-,-,-
Mandai,2022,7,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2022,7,28,     1.8,     1.6,     1.6,     1.8,-,-,-,-,-
Mandai,2022,7,29,    47.0,    33.4,    45.2,    45.8,-,-,-,-,-
Mandai,2022,7,30,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Mandai,2022,7,31,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
