Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,7,1,0,0,0,0,-,-,-,-,-
Mandai,2019,7,2,0,0,0,0,-,-,-,-,-
Mandai,2019,7,3,25.6,25,25.6,25.6,-,-,-,-,-
Mandai,2019,7,4,0,0,0,0,-,-,-,-,-
Mandai,2019,7,5,0,0,0,0,-,-,-,-,-
Mandai,2019,7,6,5,4.6,4.8,4.8,-,-,-,-,-
Mandai,2019,7,7,8.8,8.4,8.6,8.6,-,-,-,-,-
Mandai,2019,7,8,51.6,51,51.6,51.6,-,-,-,-,-
Mandai,2019,7,9,19.2,17.4,18.2,18.2,-,-,-,-,-
Mandai,2019,7,10,0,0,0,0,-,-,-,-,-
Mandai,2019,7,11,0,0,0,0,-,-,-,-,-
Mandai,2019,7,12,0,0,0,0,-,-,-,-,-
Mandai,2019,7,13,0,0,0,0,-,-,-,-,-
Mandai,2019,7,14,0,0,0,0,-,-,-,-,-
Mandai,2019,7,15,2.2,1,2,2.2,-,-,-,-,-
Mandai,2019,7,16,0,0,0,0,-,-,-,-,-
Mandai,2019,7,17,0,0,0,0,-,-,-,-,-
Mandai,2019,7,18,0,0,0,0,-,-,-,-,-
Mandai,2019,7,19,0,0,0,0,-,-,-,-,-
Mandai,2019,7,20,0,0,0,0,-,-,-,-,-
Mandai,2019,7,21,6.2,3.4,5.6,6,-,-,-,-,-
Mandai,2019,7,22,36.8,27,34.2,36.8,-,-,-,-,-
Mandai,2019,7,23,3.4,1.8,2,2.8,-,-,-,-,-
Mandai,2019,7,24,3.8,3.8,3.8,3.8,-,-,-,-,-
Mandai,2019,7,25,0,0,0,0,-,-,-,-,-
Mandai,2019,7,26,0,0,0,0,-,-,-,-,-
Mandai,2019,7,27,0,0,0,0,-,-,-,-,-
Mandai,2019,7,28,0,0,0,0,-,-,-,-,-
Mandai,2019,7,29,0,0,0,0,-,-,-,-,-
Mandai,2019,7,30,0,0,0,0,-,-,-,-,-
Mandai,2019,7,31,0,0,0,0,-,-,-,-,-
