Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,11,1,1.4,1.2,1.4,1.4,-,-,-,-,-
Mandai,2019,11,2,1.8,1.2,1.4,1.8,-,-,-,-,-
Mandai,2019,11,3,6.2,4.2,6,6.2,-,-,-,-,-
Mandai,2019,11,4,11.8,10.6,11.6,11.8,-,-,-,-,-
Mandai,2019,11,5,1.6,1.4,1.6,1.6,-,-,-,-,-
Mandai,2019,11,6,0,0,0,0,-,-,-,-,-
Mandai,2019,11,7,0,0,0,0,-,-,-,-,-
Mandai,2019,11,8,6.6,2.2,4,6.4,-,-,-,-,-
Mandai,2019,11,9,0,0,0,0,-,-,-,-,-
Mandai,2019,11,10,0,0,0,0,-,-,-,-,-
Mandai,2019,11,11,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,11,12,10.8,9.8,10.6,10.8,-,-,-,-,-
Mandai,2019,11,13,7.2,4,5.6,5.6,-,-,-,-,-
Mandai,2019,11,14,0,0,0,0,-,-,-,-,-
Mandai,2019,11,15,4.6,2.4,4.6,4.6,-,-,-,-,-
Mandai,2019,11,16,6.6,6.4,6.6,6.6,-,-,-,-,-
Mandai,2019,11,17,0,0,0,0,-,-,-,-,-
Mandai,2019,11,18,2,1.8,2,2,-,-,-,-,-
Mandai,2019,11,19,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,11,20,4.8,1.8,2.8,3,-,-,-,-,-
Mandai,2019,11,21,0.4,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,11,22,0.6,0.4,0.4,0.6,-,-,-,-,-
Mandai,2019,11,23,0,0,0,0,-,-,-,-,-
Mandai,2019,11,24,38.4,21.4,28.4,36.2,-,-,-,-,-
Mandai,2019,11,25,1.2,0.6,0.8,1,-,-,-,-,-
Mandai,2019,11,26,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,11,27,0,0,0,0,-,-,-,-,-
Mandai,2019,11,28,36.4,19.6,23.6,36.2,-,-,-,-,-
Mandai,2019,11,29,49,17.4,24.6,31.6,-,-,-,-,-
Mandai,2019,11,30,1,0.6,0.8,1,-,-,-,-,-
,,,,,,,,-,-,-,-,-
