Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,5,1,0,0,0,0,-,-,-,-,-
Mandai,2019,5,2,0,0,0,0,-,-,-,-,-
Mandai,2019,5,3,0,0,0,0,-,-,-,-,-
Mandai,2019,5,4,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,5,5,0,0,0,0,-,-,-,-,-
Mandai,2019,5,6,0,0,0,0,-,-,-,-,-
Mandai,2019,5,7,2.4,2.2,2.2,2.4,-,-,-,-,-
Mandai,2019,5,8,49.4,21.6,26.6,31.4,-,-,-,-,-
Mandai,2019,5,9,0,0,0,0,-,-,-,-,-
Mandai,2019,5,10,8.2,4.4,6.8,7.2,-,-,-,-,-
Mandai,2019,5,11,0,0,0,0,-,-,-,-,-
Mandai,2019,5,12,0,0,0,0,-,-,-,-,-
Mandai,2019,5,13,22.6,18.2,22,22.4,-,-,-,-,-
Mandai,2019,5,14,13.4,7.4,10.8,12.6,-,-,-,-,-
Mandai,2019,5,15,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,5,16,23.8,23,23.6,23.6,-,-,-,-,-
Mandai,2019,5,17,1.4,1.2,1.2,1.4,-,-,-,-,-
Mandai,2019,5,18,0,0,0,0,-,-,-,-,-
Mandai,2019,5,19,4.8,4.4,4.8,4.8,-,-,-,-,-
Mandai,2019,5,20,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,5,21,0,0,0,0,-,-,-,-,-
Mandai,2019,5,22,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,5,23,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,5,24,0,0,0,0,-,-,-,-,-
Mandai,2019,5,25,0,0,0,0,-,-,-,-,-
Mandai,2019,5,26,0,0,0,0,-,-,-,-,-
Mandai,2019,5,27,0,0,0,0,-,-,-,-,-
Mandai,2019,5,28,0,0,0,0,-,-,-,-,-
Mandai,2019,5,29,6.2,4,4.4,5.2,-,-,-,-,-
Mandai,2019,5,30,9.4,8.6,9,9.2,-,-,-,-,-
Mandai,2019,5,31,2.4,1,1,1,-,-,-,-,-
