Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2020,4,1,0.8,0.8,0.8,0.8,-,-,-,-,-
Mandai,2020,4,2,3.8,2.4,3.4,3.8,-,-,-,-,-
Mandai,2020,4,3,56.2,44.8,52.6,56,-,-,-,-,-
Mandai,2020,4,4,0,0,0,0,-,-,-,-,-
Mandai,2020,4,5,0,0,0,0,-,-,-,-,-
Mandai,2020,4,6,0,0,0,0,-,-,-,-,-
Mandai,2020,4,7,43.4,15.6,23.4,35.6,-,-,-,-,-
Mandai,2020,4,8,53.8,39.6,48.4,49.8,-,-,-,-,-
Mandai,2020,4,9,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2020,4,10,2.2,2.2,2.2,2.2,-,-,-,-,-
Mandai,2020,4,11,8,8,8,8,-,-,-,-,-
Mandai,2020,4,12,0,0,0,0,-,-,-,-,-
Mandai,2020,4,13,28.4,13.2,23.4,28.2,-,-,-,-,-
Mandai,2020,4,14,0,0,0,0,-,-,-,-,-
Mandai,2020,4,15,0,0,0,0,-,-,-,-,-
Mandai,2020,4,16,0,0,0,0,-,-,-,-,-
Mandai,2020,4,17,0,0,0,0,-,-,-,-,-
Mandai,2020,4,18,0,0,0,0,-,-,-,-,-
Mandai,2020,4,19,0,0,0,0,-,-,-,-,-
Mandai,2020,4,20,0,0,0,0,-,-,-,-,-
Mandai,2020,4,21,13.6,12.2,13.2,13.2,-,-,-,-,-
Mandai,2020,4,22,0.8,0.6,1,1,-,-,-,-,-
Mandai,2020,4,23,25.8,11.8,18.8,25.4,-,-,-,-,-
Mandai,2020,4,24,14.4,9,9.8,11,-,-,-,-,-
Mandai,2020,4,25,2.8,2.4,2.4,2.6,-,-,-,-,-
Mandai,2020,4,26,1,0.6,0.8,1,-,-,-,-,-
Mandai,2020,4,27,0,0,0,0,-,-,-,-,-
Mandai,2020,4,28,0,0,0,0,-,-,-,-,-
Mandai,2020,4,29,2,1.6,1.6,1.8,-,-,-,-,-
Mandai,2020,4,30,3.8,2,2.6,2.6,-,-,-,-,-
,,,,,,,,-,-,-,-,-
