Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2020,5,1,8.8,2.4,4.6,8.4,-,-,-,-,-
Mandai,2020,5,2,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2020,5,3,10.2,9.2,9.8,10.2,-,-,-,-,-
Mandai,2020,5,4,0.4,0.2,0.2,0.2,-,-,-,-,-
Mandai,2020,5,5,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2020,5,6,2,1,1,1.4,-,-,-,-,-
Mandai,2020,5,7,0,0,0,0,-,-,-,-,-
Mandai,2020,5,8,17.6,10,11.6,15.4,-,-,-,-,-
Mandai,2020,5,9,0,0,0,0,-,-,-,-,-
Mandai,2020,5,10,13.2,13.2,13.2,13.2,-,-,-,-,-
Mandai,2020,5,11,1.4,0.8,0.8,1.4,-,-,-,-,-
Mandai,2020,5,12,0,0,0,0,-,-,-,-,-
Mandai,2020,5,13,4.6,4.2,4.4,4.6,-,-,-,-,-
Mandai,2020,5,14,0,0,0,0,-,-,-,-,-
Mandai,2020,5,15,0,0,0,0,-,-,-,-,-
Mandai,2020,5,16,2.8,2,2.8,2.8,-,-,-,-,-
Mandai,2020,5,17,20.6,9,13,16.8,-,-,-,-,-
Mandai,2020,5,18,0.4,1,2.2,5,-,-,-,-,-
Mandai,2020,5,19,0,0,0,0,-,-,-,-,-
Mandai,2020,5,20,7.6,7.6,7.6,7.6,-,-,-,-,-
Mandai,2020,5,21,1.6,1.6,1.6,1.6,-,-,-,-,-
Mandai,2020,5,22,66,47.4,63.4,65.8,-,-,-,-,-
Mandai,2020,5,23,0.4,0.2,0.2,0.2,-,-,-,-,-
Mandai,2020,5,24,0,0,0,0,-,-,-,-,-
Mandai,2020,5,25,0,0,0,0,-,-,-,-,-
Mandai,2020,5,26,2.4,2,2.2,2.2,-,-,-,-,-
Mandai,2020,5,27,3,0.8,1.2,1.6,-,-,-,-,-
Mandai,2020,5,28,7,5.4,6.2,6.2,-,-,-,-,-
Mandai,2020,5,29,41.6,27.4,37.2,41.4,-,-,-,-,-
Mandai,2020,5,30,3.2,2,2.2,2.8,-,-,-,-,-
Mandai,2020,5,31,0,0,0,0,-,-,-,-,-
