Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2020,6,1,     9.2,     5.8,-,-,-,-,-,-,-
Mandai,2020,6,2,     0.8,     0.6,-,-,-,-,-,-,-
Mandai,2020,6,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,6,4,    24.6,    16.8,    20.8,    21.0,-,-,-,-,-
Mandai,2020,6,5,    16.6,-,-,-,-,-,-,-,-
Mandai,2020,6,6,     4.4,-,-,-,-,-,-,-,-
Mandai,2020,6,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,6,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,6,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,6,10,     1.4,     1.2,     1.2,     1.4,-,-,-,-,-
Mandai,2020,6,11,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Mandai,2020,6,12,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2020,6,13,    13.8,     5.2,     6.4,     7.2,-,-,-,-,-
Mandai,2020,6,14,    10.2,     8.2,     9.8,     9.8,-,-,-,-,-
Mandai,2020,6,15,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Mandai,2020,6,16,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2020,6,17,    39.2,    13.2,    20.4,    32.6,-,-,-,-,-
Mandai,2020,6,18,     1.0,     0.4,     0.6,     0.6,-,-,-,-,-
Mandai,2020,6,19,     2.4,     1.0,     1.6,     2.0,-,-,-,-,-
Mandai,2020,6,20,    19.4,    10.6,    12.6,    14.0,-,-,-,-,-
Mandai,2020,6,21,     9.4,     8.4,     9.2,     9.2,-,-,-,-,-
Mandai,2020,6,22,-,-,-,-,-,-,-,-,-
Mandai,2020,6,23,-,-,-,-,-,-,-,-,-
Mandai,2020,6,24,    13.2,     6.0,     7.8,     9.8,-,-,-,-,-
Mandai,2020,6,25,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Mandai,2020,6,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,6,27,     8.0,     7.8,     7.8,     7.8,-,-,-,-,-
Mandai,2020,6,28,     1.2,     1.0,     1.0,     1.0,-,-,-,-,-
Mandai,2020,6,29,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Mandai,2020,6,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
