Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2020,12,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,3,    44.0,    39.8,    42.8,    43.4,-,-,-,-,-
Mandai,2020,12,4,    15.2,    14.4,    15.0,    15.2,-,-,-,-,-
Mandai,2020,12,5,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2020,12,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,9,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Mandai,2020,12,10,     3.6,     2.6,     2.6,     3.4,-,-,-,-,-
Mandai,2020,12,11,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Mandai,2020,12,12,    40.2,    27.4,    34.2,    35.0,-,-,-,-,-
Mandai,2020,12,13,     1.2,     0.2,     0.4,     0.6,-,-,-,-,-
Mandai,2020,12,14,    31.6,    13.4,    22.4,    24.8,-,-,-,-,-
Mandai,2020,12,15,     3.8,     2.0,     2.0,     3.2,-,-,-,-,-
Mandai,2020,12,16,     7.4,     3.2,     3.2,     3.2,-,-,-,-,-
Mandai,2020,12,17,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2020,12,18,     6.4,     1.8,     3.0,     4.6,-,-,-,-,-
Mandai,2020,12,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,20,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Mandai,2020,12,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,22,     1.0,     0.8,     1.0,     1.0,-,-,-,-,-
Mandai,2020,12,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,24,     4.8,     4.8,     4.8,     4.8,-,-,-,-,-
Mandai,2020,12,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,12,26,   108.4,    38.8,    54.0,    69.2,-,-,-,-,-
Mandai,2020,12,27,    24.6,    14.2,    23.6,    24.4,-,-,-,-,-
Mandai,2020,12,28,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2020,12,29,    28.0,    25.2,    28.0,    28.0,-,-,-,-,-
Mandai,2020,12,30,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Mandai,2020,12,31,     8.0,     5.6,     5.8,     5.8,-,-,-,-,-
