Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2020,9,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,9,2,     3.0,     1.2,     1.2,     1.2,-,-,-,-,-
Mandai,2020,9,3,    12.0,     9.2,    11.2,    11.4,-,-,-,-,-
Mandai,2020,9,4,     3.0,     3.0,     3.0,     3.0,-,-,-,-,-
Mandai,2020,9,5,    28.2,    13.0,    17.6,    20.6,-,-,-,-,-
Mandai,2020,9,6,     5.8,     3.0,     4.4,     5.4,-,-,-,-,-
Mandai,2020,9,7,     1.2,     1.0,     1.0,     1.0,-,-,-,-,-
Mandai,2020,9,8,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2020,9,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,9,10,     1.2,     1.2,     1.2,     1.2,-,-,-,-,-
Mandai,2020,9,11,    10.4,     8.0,     9.2,     9.2,-,-,-,-,-
Mandai,2020,9,12,    16.6,    11.6,    11.8,    12.0,-,-,-,-,-
Mandai,2020,9,13,    26.0,    15.6,    20.2,    23.8,-,-,-,-,-
Mandai,2020,9,14,    16.4,    13.8,    15.0,    15.8,-,-,-,-,-
Mandai,2020,9,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,9,16,     8.0,     3.0,     4.6,     7.0,-,-,-,-,-
Mandai,2020,9,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,9,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,9,19,    29.8,    16.2,    24.4,    26.2,-,-,-,-,-
Mandai,2020,9,20,     1.0,     0.6,     0.8,     0.8,-,-,-,-,-
Mandai,2020,9,21,     2.2,     0.8,     1.0,     1.4,-,-,-,-,-
Mandai,2020,9,22,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2020,9,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,9,24,     2.0,     1.8,     1.8,     1.8,-,-,-,-,-
Mandai,2020,9,25,    25.2,    17.6,    24.0,    25.2,-,-,-,-,-
Mandai,2020,9,26,    53.2,    21.4,    26.6,    32.6,-,-,-,-,-
Mandai,2020,9,27,     8.4,    11.2,    20.2,    24.8,-,-,-,-,-
Mandai,2020,9,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,9,29,     1.0,     1.0,     1.0,     1.0,-,-,-,-,-
Mandai,2020,9,30,    13.0,     5.6,     7.0,     7.2,-,-,-,-,-
