Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2021,6,1,     3.2,     3.2,     3.2,     3.2,-,-,-,-,-
Mandai,2021,6,2,    17.6,    15.4,    16.6,    17.6,-,-,-,-,-
Mandai,2021,6,3,     1.6,     1.6,     1.6,     1.6,-,-,-,-,-
Mandai,2021,6,4,     6.0,     5.0,     5.0,     5.0,-,-,-,-,-
Mandai,2021,6,5,     6.6,     5.4,     6.6,     6.6,-,-,-,-,-
Mandai,2021,6,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,6,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,6,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,6,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,6,10,    54.6,    46.6,    50.2,    50.8,-,-,-,-,-
Mandai,2021,6,11,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Mandai,2021,6,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,6,13,     3.8,     3.0,     3.6,     3.8,-,-,-,-,-
Mandai,2021,6,14,     9.6,     9.6,     9.6,     9.6,-,-,-,-,-
Mandai,2021,6,15,    93.8,    50.8,    87.0,    92.6,-,-,-,-,-
Mandai,2021,6,16,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,6,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,6,18,    10.8,     2.4,     3.2,     5.0,-,-,-,-,-
Mandai,2021,6,19,     4.4,     1.2,     1.8,     3.0,-,-,-,-,-
Mandai,2021,6,20,    10.6,     8.4,     8.8,    10.2,-,-,-,-,-
Mandai,2021,6,21,     0.0,     0.0,     0.2,     0.4,-,-,-,-,-
Mandai,2021,6,22,     6.8,     5.8,     6.8,     6.8,-,-,-,-,-
Mandai,2021,6,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,6,24,    10.0,     8.4,     9.2,     9.2,-,-,-,-,-
Mandai,2021,6,25,     2.4,     1.4,     1.4,     1.6,-,-,-,-,-
Mandai,2021,6,26,    23.2,    17.4,    20.6,    23.0,-,-,-,-,-
Mandai,2021,6,27,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,6,28,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,6,29,    24.4,     9.6,    10.0,    10.2,-,-,-,-,-
Mandai,2021,6,30,     0.0,     0.0,     0.2,     4.0,-,-,-,-,-
