Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2020,11,1,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2020,11,2,    26.0,    22.8,    25.8,    25.8,-,-,-,-,-
Mandai,2020,11,3,     2.8,     1.2,     2.0,     2.0,-,-,-,-,-
Mandai,2020,11,4,    19.2,     8.4,    10.8,    13.4,-,-,-,-,-
Mandai,2020,11,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,11,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,11,7,    42.6,    16.6,    19.2,    21.4,-,-,-,-,-
Mandai,2020,11,8,    14.2,    12.6,    13.6,    14.0,-,-,-,-,-
Mandai,2020,11,9,     8.0,     6.6,     7.8,     7.8,-,-,-,-,-
Mandai,2020,11,10,    14.0,     9.2,    11.8,    13.6,-,-,-,-,-
Mandai,2020,11,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,11,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,11,13,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2020,11,14,     4.2,     3.2,     3.4,     4.2,-,-,-,-,-
Mandai,2020,11,15,    60.4,    20.4,    32.8,    42.8,-,-,-,-,-
Mandai,2020,11,16,     5.0,     2.0,     2.8,     4.0,-,-,-,-,-
Mandai,2020,11,17,    20.6,    17.4,    18.2,    19.0,-,-,-,-,-
Mandai,2020,11,18,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Mandai,2020,11,19,     6.2,     3.8,     4.6,     6.0,-,-,-,-,-
Mandai,2020,11,20,     3.8,     3.6,     3.6,     3.6,-,-,-,-,-
Mandai,2020,11,21,    19.2,     7.4,    11.2,    14.4,-,-,-,-,-
Mandai,2020,11,22,    55.2,    38.6,    45.2,    49.4,-,-,-,-,-
Mandai,2020,11,23,     5.0,     4.8,     4.8,     5.0,-,-,-,-,-
Mandai,2020,11,24,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2020,11,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,11,26,     2.0,     0.6,     0.8,     1.6,-,-,-,-,-
Mandai,2020,11,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,11,28,     3.2,     2.8,     2.8,     2.8,-,-,-,-,-
Mandai,2020,11,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2020,11,30,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
