Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2021,7,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,2,    19.2,    17.2,    19.0,    19.2,-,-,-,-,-
Mandai,2021,7,3,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,7,4,    11.0,     6.8,     8.2,    10.2,-,-,-,-,-
Mandai,2021,7,5,     9.6,     6.8,     8.2,     9.6,-,-,-,-,-
Mandai,2021,7,6,     4.2,     3.2,     3.6,     3.8,-,-,-,-,-
Mandai,2021,7,7,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,7,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,9,    53.4,    29.4,    36.8,    52.0,-,-,-,-,-
Mandai,2021,7,10,    16.0,     5.4,    10.0,    11.2,-,-,-,-,-
Mandai,2021,7,11,    23.0,    16.6,    17.0,    17.0,-,-,-,-,-
Mandai,2021,7,12,    24.2,    12.4,    12.4,    19.8,-,-,-,-,-
Mandai,2021,7,13,    83.2,    23.4,    46.2,    62.6,-,-,-,-,-
Mandai,2021,7,14,     0.4,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,7,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,17,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,18,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,19,     9.6,     9.6,     9.6,     9.6,-,-,-,-,-
Mandai,2021,7,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,21,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,23,     0.6,     0.4,     0.6,     0.6,-,-,-,-,-
Mandai,2021,7,24,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Mandai,2021,7,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,27,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,7,31,     3.4,     2.8,     3.2,     3.2,-,-,-,-,-
