Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2021,5,1,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,5,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,4,     1.6,     1.4,     1.4,     1.6,-,-,-,-,-
Mandai,2021,5,5,    53.4,    19.6,    19.6,    29.8,-,-,-,-,-
Mandai,2021,5,6,     2.6,     1.0,     1.4,     2.2,-,-,-,-,-
Mandai,2021,5,7,    26.0,    25.8,    26.0,    26.0,-,-,-,-,-
Mandai,2021,5,8,    16.6,    12.8,    15.4,    16.0,-,-,-,-,-
Mandai,2021,5,9,     1.4,     1.2,     1.2,     4.4,-,-,-,-,-
Mandai,2021,5,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,12,    16.0,    12.6,    13.4,    14.6,-,-,-,-,-
Mandai,2021,5,13,    26.2,    24.8,    26.2,    26.2,-,-,-,-,-
Mandai,2021,5,14,     7.8,     7.8,     7.8,     7.8,-,-,-,-,-
Mandai,2021,5,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,17,    15.0,     8.4,     8.4,     8.4,-,-,-,-,-
Mandai,2021,5,18,    30.2,    15.8,    18.8,    19.2,-,-,-,-,-
Mandai,2021,5,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,20,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,21,    28.2,    24.2,    26.6,    28.0,-,-,-,-,-
Mandai,2021,5,22,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,5,23,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,24,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,27,     3.6,     1.8,     1.8,     1.8,-,-,-,-,-
Mandai,2021,5,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,29,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,5,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,5,31,    22.4,    21.6,    22.4,    22.4,-,-,-,-,-
