Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2021,3,1,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,2,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,3,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,6,    30.2,    26.8,    29.6,    29.6,-,-,-,-,-
Mandai,2021,3,7,    54.8,    33.8,    40.6,    49.0,-,-,-,-,-
Mandai,2021,3,8,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,3,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,10,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,12,    33.2,    14.8,    19.6,    23.8,-,-,-,-,-
Mandai,2021,3,13,     8.2,     3.8,     5.4,     6.8,-,-,-,-,-
Mandai,2021,3,14,     0.4,     0.2,     0.4,     0.4,-,-,-,-,-
Mandai,2021,3,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,16,     2.0,     1.8,     2.0,     2.0,-,-,-,-,-
Mandai,2021,3,17,    14.2,    11.2,    14.2,    14.2,-,-,-,-,-
Mandai,2021,3,18,    66.4,    56.0,    65.6,    66.0,-,-,-,-,-
Mandai,2021,3,19,     4.8,     4.8,     4.8,     4.8,-,-,-,-,-
Mandai,2021,3,20,     3.2,     2.8,     3.2,     3.2,-,-,-,-,-
Mandai,2021,3,21,     2.2,     1.8,     2.0,     2.2,-,-,-,-,-
Mandai,2021,3,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,23,    20.2,    10.2,    12.2,    14.0,-,-,-,-,-
Mandai,2021,3,24,    12.0,     5.4,     5.6,     6.0,-,-,-,-,-
Mandai,2021,3,25,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,3,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,27,     2.8,     1.8,     2.2,     2.6,-,-,-,-,-
Mandai,2021,3,28,     7.2,     7.2,     7.2,     7.2,-,-,-,-,-
Mandai,2021,3,29,    32.8,    22.6,    29.2,    31.8,-,-,-,-,-
Mandai,2021,3,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,3,31,     8.8,     5.8,     6.8,     7.2,-,-,-,-,-
