Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,6,1,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,6,2,16.8,6.4,7,7,-,-,-,-,-
Mandai,2019,6,3,21,9.4,11.8,13.6,-,-,-,-,-
Mandai,2019,6,4,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,6,5,0,0,0,0,-,-,-,-,-
Mandai,2019,6,6,2.2,0.8,1.2,1.4,-,-,-,-,-
Mandai,2019,6,7,13.4,6,8.4,10.4,-,-,-,-,-
Mandai,2019,6,8,—,—,—,—,-,-,-,-,-
Mandai,2019,6,9,—,—,—,—,-,-,-,-,-
Mandai,2019,6,10,—,—,—,—,-,-,-,-,-
Mandai,2019,6,11,49.8,36.2,48.6,49,-,-,-,-,-
Mandai,2019,6,12,13.2,5.2,6,7.2,-,-,-,-,-
Mandai,2019,6,13,1,0.4,0.8,1,-,-,-,-,-
Mandai,2019,6,14,1,0.4,0.8,1,-,-,-,-,-
Mandai,2019,6,15,27,23.6,27,27,-,-,-,-,-
Mandai,2019,6,16,0,0,0,0,-,-,-,-,-
Mandai,2019,6,17,0.6,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,6,18,3,0.8,1.4,1.8,-,-,-,-,-
Mandai,2019,6,19,2.6,2.4,2.6,2.6,-,-,-,-,-
Mandai,2019,6,20,12.6,6,6.4,6.4,-,-,-,-,-
Mandai,2019,6,21,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,6,22,37.4,15.4,18.2,19,-,-,-,-,-
Mandai,2019,6,23,0,0,0,0,-,-,-,-,-
Mandai,2019,6,24,0,0,0,0,-,-,-,-,-
Mandai,2019,6,25,0,0,0,0,-,-,-,-,-
Mandai,2019,6,26,2.6,2.6,2.6,2.6,-,-,-,-,-
Mandai,2019,6,27,0,0,0,0,-,-,-,-,-
Mandai,2019,6,28,0,0,0,0,-,-,-,-,-
Mandai,2019,6,29,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,6,30,0,0,0,0,-,-,-,-,-
,,,,,,,,-,-,-,-,-
