Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,3,1,0,0,0,0,-,-,-,-,-
Mandai,2019,3,2,0,0,0,0,-,-,-,-,-
Mandai,2019,3,3,0,0,0,0,-,-,-,-,-
Mandai,2019,3,4,5.6,3.6,5.4,5.6,-,-,-,-,-
Mandai,2019,3,5,2,2,2,2,-,-,-,-,-
Mandai,2019,3,6,0,0,0,0,-,-,-,-,-
Mandai,2019,3,7,0,0,0,0,-,-,-,-,-
Mandai,2019,3,8,0,0,0,0,-,-,-,-,-
Mandai,2019,3,9,0,0,0,0,-,-,-,-,-
Mandai,2019,3,10,0,0,0,0,-,-,-,-,-
Mandai,2019,3,11,62,38,59.2,61.6,-,-,-,-,-
Mandai,2019,3,12,1.4,1.2,1.4,1.4,-,-,-,-,-
Mandai,2019,3,13,0,0,0,0,-,-,-,-,-
Mandai,2019,3,14,0,0,0,0,-,-,-,-,-
Mandai,2019,3,15,0,0,0,0,-,-,-,-,-
Mandai,2019,3,16,0,0,0,0,-,-,-,-,-
Mandai,2019,3,17,0,0,0,0,-,-,-,-,-
Mandai,2019,3,18,0,0,0,0,-,-,-,-,-
Mandai,2019,3,19,0,0,0,0,-,-,-,-,-
Mandai,2019,3,20,0,0,0,0,-,-,-,-,-
Mandai,2019,3,21,79.2,43.6,67,78.8,-,-,-,-,-
Mandai,2019,3,22,0,0,0,0,-,-,-,-,-
Mandai,2019,3,23,1.6,1.6,1.6,1.6,-,-,-,-,-
Mandai,2019,3,24,2.2,2.2,2.2,2.2,-,-,-,-,-
Mandai,2019,3,25,2.6,2.6,2.6,2.6,-,-,-,-,-
Mandai,2019,3,26,0,0,0,0,-,-,-,-,-
Mandai,2019,3,27,0,0,0,0,-,-,-,-,-
Mandai,2019,3,28,16.6,11,15.4,16.2,-,-,-,-,-
Mandai,2019,3,29,0,0,0,0,-,-,-,-,-
Mandai,2019,3,30,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,3,31,0,0,0,0,-,-,-,-,-
