Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,10,1,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,10,2,2.6,1.2,1.8,2.4,-,-,-,-,-
Mandai,2019,10,3,0,0,0,0,-,-,-,-,-
Mandai,2019,10,4,10.2,7.2,9.2,9.4,-,-,-,-,-
Mandai,2019,10,5,1.8,1,1,1,-,-,-,-,-
Mandai,2019,10,6,0,0,0,0,-,-,-,-,-
Mandai,2019,10,7,1.6,1.2,1.2,1.2,-,-,-,-,-
Mandai,2019,10,8,0,0,0,0,-,-,-,-,-
Mandai,2019,10,9,48.6,38.2,47.2,48.2,-,-,-,-,-
Mandai,2019,10,10,10.2,8.4,9.4,9.6,-,-,-,-,-
Mandai,2019,10,11,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,10,12,13.6,12,13.4,13.4,-,-,-,-,-
Mandai,2019,10,13,0.6,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,10,14,0,0,0,0,-,-,-,-,-
Mandai,2019,10,15,6.2,3.4,3.6,3.6,-,-,-,-,-
Mandai,2019,10,16,13.8,12.8,12.8,13.6,-,-,-,-,-
Mandai,2019,10,17,7.2,4.8,6.8,7,-,-,-,-,-
Mandai,2019,10,18,6,4.8,5.8,5.8,-,-,-,-,-
Mandai,2019,10,19,0,0,0,0,-,-,-,-,-
Mandai,2019,10,20,0,0,0,0,-,-,-,-,-
Mandai,2019,10,21,46.6,33.8,43.6,46,-,-,-,-,-
Mandai,2019,10,22,47.8,28,36.8,42.6,-,-,-,-,-
Mandai,2019,10,23,6.4,5.6,5.6,5.6,-,-,-,-,-
Mandai,2019,10,24,0.2,0.2,0.2,0.2,-,-,-,-,-
Mandai,2019,10,25,0,0,0,0,-,-,-,-,-
Mandai,2019,10,26,6,3.6,3.8,4,-,-,-,-,-
Mandai,2019,10,27,4.4,1,1.6,2.8,-,-,-,-,-
Mandai,2019,10,28,3,2.4,2.6,2.8,-,-,-,-,-
Mandai,2019,10,29,0,0,0,0,-,-,-,-,-
Mandai,2019,10,30,1.6,1.2,1.2,1.4,-,-,-,-,-
Mandai,2019,10,31,0.4,0.2,0.2,0.4,-,-,-,-,-
