Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2021,11,1,    18.2,    16.4,    16.8,    17.6,-,-,-,-,-
Mandai,2021,11,2,    37.6,    26.6,    32.2,    35.2,-,-,-,-,-
Mandai,2021,11,3,     1.0,     0.4,     0.4,     0.8,-,-,-,-,-
Mandai,2021,11,4,    10.0,     9.6,     9.8,    10.0,-,-,-,-,-
Mandai,2021,11,5,    15.4,     5.6,     9.2,    12.0,-,-,-,-,-
Mandai,2021,11,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,11,7,    10.2,     8.8,     9.4,     9.6,-,-,-,-,-
Mandai,2021,11,8,     0.2,     0.2,     0.2,     0.2,-,-,-,-,-
Mandai,2021,11,9,    41.0,    34.6,    37.0,    37.0,-,-,-,-,-
Mandai,2021,11,10,    11.8,     3.8,     6.0,     8.6,-,-,-,-,-
Mandai,2021,11,11,     1.0,     0.4,     0.4,     0.6,-,-,-,-,-
Mandai,2021,11,12,     1.8,     0.8,     1.2,     1.4,-,-,-,-,-
Mandai,2021,11,13,     4.0,     2.6,     2.8,     3.4,-,-,-,-,-
Mandai,2021,11,14,     1.4,     1.4,     1.4,     1.4,-,-,-,-,-
Mandai,2021,11,15,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,11,16,     2.2,     1.8,     1.8,     2.0,-,-,-,-,-
Mandai,2021,11,17,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2021,11,18,    14.0,     6.0,    10.0,    11.2,-,-,-,-,-
Mandai,2021,11,19,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,11,20,     1.2,     0.6,     0.6,     0.8,-,-,-,-,-
Mandai,2021,11,21,     2.2,     0.8,     1.2,     1.6,-,-,-,-,-
Mandai,2021,11,22,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Mandai,2021,11,23,     7.4,     3.8,     4.2,     5.0,-,-,-,-,-
Mandai,2021,11,24,     7.6,     1.8,     3.4,     5.2,-,-,-,-,-
Mandai,2021,11,25,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,11,26,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,11,27,     4.2,     2.0,     2.8,     3.0,-,-,-,-,-
Mandai,2021,11,28,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,11,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,11,30,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
