Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,12,1,33.8,28,31.4,31.4,-,-,-,-,-
Mandai,2019,12,2,98.4,37.4,61.8,91,-,-,-,-,-
Mandai,2019,12,3,0,0,0,0,-,-,-,-,-
Mandai,2019,12,4,0,0,0,0,-,-,-,-,-
Mandai,2019,12,5,0,0,0,0,-,-,-,-,-
Mandai,2019,12,6,0,0,0,0,-,-,-,-,-
Mandai,2019,12,7,0,0,0,0,-,-,-,-,-
Mandai,2019,12,8,0,0,0,0,-,-,-,-,-
Mandai,2019,12,9,47,14.6,18,29.2,-,-,-,-,-
Mandai,2019,12,10,6.4,1.8,2.4,3,-,-,-,-,-
Mandai,2019,12,11,35,4.2,7.2,13,-,-,-,-,-
Mandai,2019,12,12,2.4,1.4,2,2.2,-,-,-,-,-
Mandai,2019,12,13,30.2,10.6,11.6,14,-,-,-,-,-
Mandai,2019,12,14,40,3.8,7.4,12.8,-,-,-,-,-
Mandai,2019,12,15,25.6,3.8,6.4,11.2,-,-,-,-,-
Mandai,2019,12,16,0,0,0,0,-,-,-,-,-
Mandai,2019,12,17,3,0.6,1,1.4,-,-,-,-,-
Mandai,2019,12,18,45.2,41,44.6,45,-,-,-,-,-
Mandai,2019,12,19,0,0,0,0,-,-,-,-,-
Mandai,2019,12,20,0,0,0,0,-,-,-,-,-
Mandai,2019,12,21,1.8,1.6,1.6,1.6,-,-,-,-,-
Mandai,2019,12,22,0,0,0,0,-,-,-,-,-
Mandai,2019,12,23,21.2,17.4,20.8,21,-,-,-,-,-
Mandai,2019,12,24,7.6,7.2,7.2,7.2,-,-,-,-,-
Mandai,2019,12,25,0,0,0,0,-,-,-,-,-
Mandai,2019,12,26,0,0,0,0,-,-,-,-,-
Mandai,2019,12,27,0,0,0,0,-,-,-,-,-
Mandai,2019,12,28,0,0,0,0,-,-,-,-,-
Mandai,2019,12,29,0,0,0,0,-,-,-,-,-
Mandai,2019,12,30,0,0,0,0,-,-,-,-,-
Mandai,2019,12,31,0,0,0,0,-,-,-,-,-
