Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2019,4,1,24,14.8,17.8,18.2,-,-,-,-,-
Mandai,2019,4,2,0,0,0,0,-,-,-,-,-
Mandai,2019,4,3,21.2,12,16,18.2,-,-,-,-,-
Mandai,2019,4,4,2.4,1.8,2.4,2.4,-,-,-,-,-
Mandai,2019,4,5,0,0,0,0,-,-,-,-,-
Mandai,2019,4,6,0,0,0,0,-,-,-,-,-
Mandai,2019,4,7,0,0,0,0,-,-,-,-,-
Mandai,2019,4,8,0,0,0,0,-,-,-,-,-
Mandai,2019,4,9,1,0.6,0.6,0.8,-,-,-,-,-
Mandai,2019,4,10,0.8,0.8,0.8,0.8,-,-,-,-,-
Mandai,2019,4,11,0.4,0.4,0.4,0.4,-,-,-,-,-
Mandai,2019,4,12,6.4,5.6,5.6,5.6,-,-,-,-,-
Mandai,2019,4,13,0,0,0,0,-,-,-,-,-
Mandai,2019,4,14,7.4,7.4,7.4,7.4,-,-,-,-,-
Mandai,2019,4,15,0,0,0,0,-,-,-,-,-
Mandai,2019,4,16,1.2,1.2,1.2,1.2,-,-,-,-,-
Mandai,2019,4,17,0,0,0,0,-,-,-,-,-
Mandai,2019,4,18,0.4,0.2,0.2,0.4,-,-,-,-,-
Mandai,2019,4,19,3,2.2,2.8,3,-,-,-,-,-
Mandai,2019,4,20,0,0,0,0,-,-,-,-,-
Mandai,2019,4,21,0,0,0,0,-,-,-,-,-
Mandai,2019,4,22,1.8,1.2,1.2,1.2,-,-,-,-,-
Mandai,2019,4,23,20,12,14.4,19.4,-,-,-,-,-
Mandai,2019,4,24,9.4,9.2,9.2,9.2,-,-,-,-,-
Mandai,2019,4,25,9.6,8.6,9.2,9.4,-,-,-,-,-
Mandai,2019,4,26,46.6,14.2,18.2,34.6,-,-,-,-,-
Mandai,2019,4,27,4.8,2,2.6,3.4,-,-,-,-,-
Mandai,2019,4,28,0,0,0,0,-,-,-,-,-
Mandai,2019,4,29,1.8,1.4,1.4,1.4,-,-,-,-,-
Mandai,2019,4,30,0.2,0.2,0.2,0.2,-,-,-,-,-
,,,,,,,,-,-,-,-,-
