Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Mandai,2021,10,1,    31.2,    12.6,    18.4,    21.4,-,-,-,-,-
Mandai,2021,10,2,     0.6,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2021,10,3,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2021,10,4,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,5,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,6,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,7,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,8,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,9,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,10,     8.4,     7.8,     8.0,     8.0,-,-,-,-,-
Mandai,2021,10,11,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,12,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,13,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,14,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,15,     0.8,     0.8,     0.8,     0.8,-,-,-,-,-
Mandai,2021,10,16,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,17,    59.0,    44.0,    47.2,    47.2,-,-,-,-,-
Mandai,2021,10,18,    15.2,    14.6,    15.2,    15.2,-,-,-,-,-
Mandai,2021,10,19,     0.4,     0.4,     0.4,     0.4,-,-,-,-,-
Mandai,2021,10,20,    31.6,    22.6,    25.2,    26.2,-,-,-,-,-
Mandai,2021,10,21,     3.8,     2.6,     3.6,     3.8,-,-,-,-,-
Mandai,2021,10,22,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,23,     3.2,     1.2,     1.6,     1.6,-,-,-,-,-
Mandai,2021,10,24,     0.0,     0.0,     0.0,     0.2,-,-,-,-,-
Mandai,2021,10,25,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Mandai,2021,10,26,     0.6,     0.6,     0.6,     0.6,-,-,-,-,-
Mandai,2021,10,27,     1.0,     0.8,     0.8,     1.0,-,-,-,-,-
Mandai,2021,10,28,    36.6,    31.8,    36.4,    36.6,-,-,-,-,-
Mandai,2021,10,29,     0.0,     0.0,     0.0,     0.0,-,-,-,-,-
Mandai,2021,10,30,     1.8,     1.6,     1.6,     1.6,-,-,-,-,-
Mandai,2021,10,31,    10.2,     4.2,     4.2,     7.8,-,-,-,-,-
